country_name,reference_year,education_expenditure,secondary_enrollment_rate,child_out_of_school,expenditure_health,health_education_exp_ratio,education_health_index_male,education_health_index_female
Latvia,2009,5.52265977859497,99.4204025268555,972.0,6.09759474,1.1,67.9,77.65
Lesotho,2017,7.23117733001709,59.8201412049312,37641.0,10.57478237,1.46,30.74,33.66
Liberia,2020,2.13601422309875,37.8051300048828,257596.0,12.90504265,6.04,22.65,23.68
Lithuania,2001,5.84758996963501,99.6236419677734,639.0,6.01339626,1.03,65.75,77.31
Luxembourg,2008,4.33647680282593,95.75830078125,1150.0,6.23101091,1.44,74.79,79.58
Madagascar,2021,3.19807553291321,35.1450665804339,,3.5045228,1.1,21.38,22.58
Malawi,2018,3.32295989990234,38.4567909240723,,6.88249922,2.07,23.48,26.12
Malaysia,2022,3.49933791160583,84.5425041170296,145204.0,3.90591931,1.12,61.76,66.11
Maldives,2022,4.67344331741333,72.5359496704613,2809.0,9.65276241,2.07,57.61,59.88
Mali,2018,3.55817008018494,38.9281616210938,1502333.0,3.73249912,1.05,22.47,23.38
Malta,2016,5.10765981674194,94.9765701293945,321.0,8.96600914,1.76,76.55,80.16
Marshall Islands,2003,11.8441400527954,69.4998779296875,,13.3324337,1.13,42.94,46.3
Mauritania,2020,1.802649974823,35.8889999389648,,3.00147843,1.66,23.26,24.73
Mauritius,2020,4.35243988037109,89.5019989013672,3162.0,6.09606028,1.4,63.42,69.51
Mexico,2021,4.24952983856201,98.3202514648438,44228.0,5.89244318,1.39,65.12,72.12
Moldova,2022,6.11053991317749,97.6136725974109,,6.96505404,1.14,65.08,74.39
Mongolia,2022,4.18056726455688,97.6302037098505,20338.0,8.85170174,2.12,65.73,74.88
Morocco,2022,5.91224670410156,86.2332000732422,21600.0,5.68049145,0.96,63.01,66.75
Mozambique,2022,6.16198396682739,37.8922391567718,65327.0,8.77717781,1.42,22.65,24.96
Myanmar,2018,1.99249005317688,75.6469802856445,,4.89992189,2.46,47.94,52.37
Namibia,2006,6.03171014785767,62.4719581604004,40981.0,10.57086945,1.75,31.88,34.5
Nauru,2022,7.80539798736572,89.922981262207,219.0,18.17031097,2.33,53.94,57.56
Nepal,2022,3.61778378486633,83.9228076897993,29764.8361279704,6.65589333,1.84,57.56,60.06
Nicaragua,2010,4.48424005508423,67.9309005737305,64830.0,7.71019173,1.72,46.72,50.73
Niger,2017,2.57818007469177,25.3490695953369,1078179.0,5.57609606,2.16,14.87,15.31
Nigeria,2021,0.381919115781784,47.2372283935547,,4.07625723,10.67,25.11,25.39
North Macedonia,2002,3.30014991760254,83.9654083251953,436.0,8.97826958,2.72,59.28,63.48
Pakistan,2022,1.97444903850555,42.3586853238267,7258819.0,2.90434051,1.47,27.58,29.62
Panama,2021,3.71141004562378,82.8732284547998,19756.0,9.13571072,2.46,61.22,66.51
Papua New Guinea,2018,1.8748300075531,44.4107818603516,16623.0,2.30051899,1.23,27.86,30.27
Paraguay,2022,3.39619994163513,82.0107879638672,91610.0,7.73804235,2.28,56.93,61.85
